threshold,boost,boost_type,success_rate,successes,avg_steps_all,avg_steps_successful,query_rate,follow_rate
baseline,N/A,N/A,90.0,9,27.3,23.666666666666668,0.0,0.0
0.6,1.5,multiplicative,100.0,10,30.9,30.9,66.66666666666666,45.63106796116505
0.6,2.0,multiplicative,100.0,10,25.0,25.0,61.6,56.493506493506494
0.6,3.0,multiplicative,90.0,9,27.3,23.666666666666668,61.172161172161175,53.293413173652695
0.6,5.0,multiplicative,90.0,9,26.5,22.77777777777778,67.54716981132076,70.39106145251397
0.8,1.5,multiplicative,80.0,8,32.4,25.5,36.41975308641975,51.69491525423729
0.8,2.0,multiplicative,100.0,10,26.4,26.4,32.196969696969695,54.11764705882353
0.8,3.0,multiplicative,100.0,10,25.4,25.4,31.496062992125985,60.0
0.8,5.0,multiplicative,80.0,8,28.6,20.75,40.20979020979021,70.43478260869566
1.0,1.5,multiplicative,90.0,9,25.4,21.555555555555557,27.559055118110237,51.42857142857142
1.0,2.0,multiplicative,90.0,9,29.4,26.0,25.850340136054424,48.68421052631579
1.0,3.0,multiplicative,90.0,9,27.8,24.22222222222222,30.215827338129497,59.523809523809526
1.0,5.0,multiplicative,90.0,9,26.7,23.0,28.08988764044944,65.33333333333333
1.2,1.5,multiplicative,90.0,9,27.8,24.22222222222222,15.467625899280577,44.18604651162791
1.2,2.0,multiplicative,90.0,9,27.9,24.333333333333332,14.695340501792115,53.65853658536586
1.2,3.0,multiplicative,90.0,9,26.0,22.22222222222222,15.769230769230768,60.97560975609756
1.2,5.0,multiplicative,90.0,9,25.8,22.0,19.767441860465116,70.58823529411765
1.4,1.5,multiplicative,90.0,9,27.3,23.666666666666668,0.0,0.0
1.4,2.0,multiplicative,90.0,9,27.3,23.666666666666668,0.0,0.0
1.4,3.0,multiplicative,90.0,9,27.3,23.666666666666668,0.0,0.0
1.4,5.0,multiplicative,90.0,9,27.3,23.666666666666668,0.0,0.0
0.6,0.1,additive,80.0,8,31.3,24.125,65.17571884984025,45.588235294117645
0.6,0.2,additive,100.0,10,28.0,28.0,61.07142857142858,46.783625730994146
0.6,0.3,additive,90.0,9,27.9,24.333333333333332,67.02508960573476,53.475935828877006
0.8,0.1,additive,90.0,9,27.0,23.333333333333332,36.2962962962963,46.93877551020408
0.8,0.2,additive,90.0,9,29.8,26.444444444444443,35.57046979865772,51.886792452830186
0.8,0.3,additive,80.0,8,31.0,23.75,40.64516129032258,60.317460317460316
1.0,0.1,additive,90.0,9,28.3,24.77777777777778,24.381625441696116,39.130434782608695
1.0,0.2,additive,80.0,8,30.6,23.25,26.797385620915033,48.78048780487805
1.0,0.3,additive,90.0,9,26.7,23.0,25.468164794007492,52.94117647058824
1.2,0.1,additive,90.0,9,27.8,24.22222222222222,15.107913669064748,33.33333333333333
1.2,0.2,additive,90.0,9,26.9,23.22222222222222,13.754646840148698,45.94594594594595
1.2,0.3,additive,90.0,9,25.9,22.11111111111111,16.216216216216218,54.761904761904766
1.4,0.1,additive,90.0,9,27.3,23.666666666666668,0.0,0.0
1.4,0.2,additive,90.0,9,27.3,23.666666666666668,0.0,0.0
1.4,0.3,additive,90.0,9,27.3,23.666666666666668,0.0,0.0
